Instrument	Manufacturer	Model No.	Scientist	former name	new name	Data Product(s)	Domains
DC-GC-FID-2	Perkin Elmer	GC	James Hopkins		ncas-dc-gc-fid-2	voc-concentration	land, air, sea
GC-ms	bespoke	bespoke	James Hopkins		ncas-gc-ms-1	voc-concentration	land, air, sea
PAN-gc	bespoke	bespoke	James Hopkins		ncas-pan-gc-1	peroxyacetyl-nitrate-concentration	land, air, sea
PTRMS	onicon Analytik	bespoke	David Oram	uea-ptrms	ncas-ptrms-1	voc-concentration	land, air, sea
Nox - 1	thermo	42i	Lisa Whalley	leeds-nox	ncas-42i-nox-1	nox-noxy-concentration	land, sea
O3	thermo	42c	Lisa Whalley	leeds-o3	ncas-42c-o3-1	o3-concentration	land, sea
Dewpoint Hygrometer	General Eastern	Optica Chilled Mirror Hygrometer	Lisa Whalley	leeds-dph	ncas-dewpoint-hygrometer-1	dew-point	land, sea
FAGE	bespoke	bespoke	Lisa Whalley	leeds-fage	ncas-fage-1	oh-concentration	land, sea
Filtered radiometer	Metcon GmbH	Filtered radiometer	Lisa Whalley	leeds-fr-jo1d	ncas-filtered-radiometer-1	o3-photolysis-frequencies	land, sea
Spectral radiometer	Ocean Optics	QE65000	Lisa Whalley		ncas-spectral-radiometer-1	solar-actinic-flux	land, sea
micro Fage	bespoke	bespoke	Trevor Ingham		ncas-micro-fage-1	oh-concentration	land, air, sea
radar aws	davis instruments	Vatage Vue	Lindsay Bennett		ncas-aws-2	surface-met	land, sea
X-band radar	Selex	METEOR 60DX	Lindsay Bennett	ncas-mobile-xband-radar	ncas-mobile-x-band-radar-1	radar	land
Ka-Band radar	METEK	MIRA-35	Chris Walden		ncas-mobile-ka-band-radar-1	radar	land, sea
sun photometer	Cimel	CE318-T	Chris Walden		ncas-sunphotometer-1	aerosol-optical-depth	land, sea
IAO - met	Davis	VAntage pro 2	Barbara Brooks		ncas-aws-3	surface-met	land
IAO - sonic	Gill	WindSonic	Barbara Brooks		ncas-sonic-3	mean-winds	land
IAO Ceilometer	Campbel	CS135	Barbara Brooks		ncas-ceilometer-3	aerosol-backscatter, |cloud-base	land
IAO Doppler lidar	HALO Photonics	StreamLine	Barbara Brooks		ncas-lidar-dop-2	mean-winds-profile,|aerosol- backscatter-radial-winds, |depolarisation-ratio	land
IAO Camera 1	ycam	protect outdoor camera	James Groves		ncas-cam-1	images - data product not defined	land
IAO Camera 2	ycam	protect outdoor camera	James Groves		ncas-cam-2	images - data product not defined	land
IAO All sky camera	planet	ICA 8350	James Groves		ncas-cam-3	images - data product not defined	land, sea
AWS	Davis	Vatage Pro 2	Phil Rosenberg		ncas-aws-1	surface-met	land, sea
Ceilometer	Campbel	CS135	Phil Rosenberg		ncas-ceilometer-1	aerosol-backscatter, |cloud-base	land, sea
Energy Balance -1	Campbel	CR5000	Phil Rosenberg		ncas-energy-balance-1	radiation, |soil	land, sea
Energy Balance -2	Campbel	CR3000	Phil Rosenberg		ncas-energy-balance-2	radiation, |soil	land, sea
Flux - 1	Bespoke	Flux	Phil Rosenberg		ncas-flux-1	flux-components, |flux estimates	land, sea
Flux - 2	Bespoke	Flux	Phil Rosenberg		ncas-flux-2	flux-components, |flux estimates	land, sea
Licor - 1	Li-Cor	LI-7500	Phil Rosenberg		ncas-licor-1	mean-co2-h2o	land, sea
Licor - 2	Li-Cor	LI-7500	Phil Rosenberg		ncas-licor-2	mean-co2-h2o	land, sea
Doppler lidar	HALO Photonics	StreamLine	Phil Rosenberg		ncas-lidar-dop-1	aerosol-mean-winds-profile, |backscatter-radial-winds, |depolarisation-ratio	land, air, sea
Micro Rain Radar	METEK	MRR-2	Phil Rosenberg		ncas-mrr-1	rain-lwc-velocity-reflectivity, |size-concentration-spectra	land, sea
Radio sonde unit2	Vaisala	MW41	Phil Rosenberg	leeds-radiosonde	ncas-radiosonde-2	sonde	land, sea
Rapid sonde unit2	Windsond	Not applicable	Phil Rosenberg		ncas-rapidsonde-2	sonde	land, sea
HATPRO Radiometer	RPG	HATPRO	Phil Rosenberg	salford-radiometer-1	ncas-scanning-radiometer-1	boundary-layer-temperature-profiles, |brightness-temperature, |full-troposphere-temperature-profiles, |iwv-lwp, moisture-profile, |stabiluty-indicies, |surface-met	land, sea
sodar -1	Scintec	MFAS	Barbara Brooks	leeds-sodar-unit1	ncas-sodar-1	acoustic-backscatter-winds	land
sodar -2	Scintrec	MFAS	Barbara Brooks	leeds-sodar-unit2	ncas-sodar-2	acoustic-backscatter-winds	land
sodar -3	Scintec	MFAS	Barbara Brooks	leeds-sodar-unit3	ncas-sodar-3	acoustic-backscatter-winds	land
sonic 1	METEK	uSonic-3	Phil Rosenberg		ncas-sonic-1	mean-winds	land, sea
sonic 2	METEK	uSonic-3	Phil Rosenberg		ncas-sonic-2	mean-winds	land, sea
