Instrument	Old Instrument Name	New Instrument Name	Descriptor	CEDA Instrument Record URL	Manufacturer	Model No.	Scientist	Data Product(s)	Domains
WAO - CH4	wao-ghg-gc-fid	ncas-ghg-gc-fid-1	NCAS Gas Chromatograph with Flame Ionisation Detector unit 1	http://catalogue.ceda.ac.uk/uuid/8b3ac252d05a4b7eac85b0bcb1b765d2	Perkin Elmer	Clarus 500 Gas Chromatograph	Grant Forster	ch4-concentration	land
WAO - O2	wao-siemens-oxzilla	ncas-o2-1	NCAS Seimens Oxilla O2 Gas Monitor unit 1	NEEDS INVESTIGATION	Siemens	Ultramat 6E	Grant Forster	o2n2-concentration-ratio	land
WAO - CO & h2	wao-rga	ncas-rga3-1	NCAS Reduction Gas Analyser unit 1	NEEDS INVESTIGATION	Trace Analytical	RGA3	Grant Forster	co-h2-concentration|h2-concentration	land
WAO - PM		uea-fidas200E-1	UEA PM Mass Concentration Counter unit 1		Palas	Fidas 200E	Grant Forster	pm-concentration	land
WAO - CH4, N20, CO		ncas-ftir-1	NCAS FTIR CH4 N2O CO Monitor unit 1		Ecotech	Spectronus	Grant Forster	ch4-n2o-co-concentration	land
CVAO - 2D sonic		ncas-sonic-4	NCAS Sonic Anemometer unit 4	NEEDS INVESTIGATION	Gill	WindMaster	Katie Read	mean-winds	land
CVAO - met Campbell	cv-met-campbell	ncas-aws-8	NCAS Automatic Weather Station unit 8	http://catalogue.ceda.ac.uk/uuid/84d60aea395b491f8313d6c75b580f93	campbell	WxPRO	Katie Read	surface-met	land
CVAO - met Davis	cv-met-tower, cv-met-webdaq	ncas-aws-7	NCAS Automatic Weather Station unit 7	NEEDS INVESTIGATION	davis	vantage vue	Katie Read	surface-met	land
CVAO - SO2		ncas-43i-so2-2	NCAS Thermo 43i SO2 Monitor unit 1	NEEDS INVESTIGATION	Thermo
CVAO - 03	cv-tei-o3	ncas-49i-o3-1	NCAS Thermo 49i O3 Monitor unit 1	http://catalogue.ceda.ac.uk/uuid/e964c05ed6704dd89326cc6cad27c6bb	thermo	49i	Katie Read	o3-concentration	land
CVAO - CO		ncas-co-picarro-1	NCAS Picarro CO Monitor unit 1	NEEDS INVESTIGATION	Picarro	G2401 CO,CH4,CO2,H2O Analyzer	Katie Read	co-concentration	land
CVAO - halocarbons	cv-gc-ms	ncas-halocarbon-gc-1	NCAS Halocarbon Gas Chromatograph unit 1	http://catalogue.ceda.ac.uk/uuid/fc34e6a732af44fc896e69cf4bf0ea7b	bespoke	GC MS	Katie Read	halocarbon-concentration	land
CVAO - noxy	cv-noxy	ncas-noxy-1	NCAS AQD High Sensitivity NOx Monitor unit 1	http://catalogue.ceda.ac.uk/uuid/bfec242b35524bbe9dff61765e755271	Air Quality Design Inc	High Performance, 2 Channel NOx monitor	Katie Read	nox-noxy-concentration	land
CVAO - Mercury		ncas-tgm-tekran-1	NCAS Mercury Monitor unit 1	NEEDS INVESTIGATION	Tekran	2537B CVAFS	Katie Read	tgm-concentration	land
CVAO - Spectral radiiometer	cv-specrad	ncas-spectral-radiometer-2	NCAS Spectral Radiometer unit 2	NEEDS INVESTIGATION	Ocean Optics	QE65000	James Lee	solar-actinic-flux	land
CVAO - VOC	cv-dc-gc-fid	ncas-dc-gc-fid-3	NCAS Dual Channel Gas Chromatograph with Flame Ionisation Detector unit 3	NEEDS INVESTIGATION	Perkin Elmer	GC	Katie Read	voc-concentration	land
BT Tower - O3		ncas-49i-o3-3	NCAS Thermo 49i O3 Monitor unit 3	NEEDS INVESTIGATION	thermo	49i	James Lee	o3-concentration	land
BT Tower - Nox		ncas-teco-nox-1	NCAS Teco NOx Monitor unit 1	NEEDS INVESTIGATION	thermo	42i	James Lee	nox-noxy-concentration	land
1 chan O3	york-ozone6	ncas-2b-1chan-o3-1	NCAS 1 Channel O3 Monitor unit 1	http://catalogue.ceda.ac.uk/uuid/951bb4d012d4490682b03dcd9864b1b7	2B Technologies	205	Katie Read	o3-concentration	land, sea
2 chan O3	york-ozone7	ncas-2b-2chan-o3-1	NCAS 2 Channel O3 Monitor unit 1	http://catalogue.ceda.ac.uk/uuid/76684ba152334ebcb72c44accff62b04	2B Technologies	205	Katie Read	o3-concentration	land, sea
