Old Instrument Name	New Instrument Name	Descriptor	CEDA Instrument Record URL
	ncas-gc-ms-1	NCAS Gas Chromatograph with Mass Spectrometer unit 1	NEEDS INVESTIGATION
	ncas-pan-gc-1	NCAS Peroxyacetyl Nitrates Gas Chromatograph unit 1	NEEDS INVESTIGATION
uea-ptrms	ncas-ptrms-1	NCAS Proton Transfer Reaction Mass Spectrometer unit 1	http://catalogue.ceda.ac.uk/uuid/c39cb6ce89ea4b4a9c3d3d9ae602f983
leeds-nox	ncas-42i-nox-1	NCAS Thermo 42i NOx Monitor unit 1	http://catalogue.ceda.ac.uk/uuid/e296a7dd92b047ba909ad7b9c742cced
leeds-o3	ncas-49c-o3-1	NCAS Thermo 42c O3 Monitor unit 1	http://catalogue.ceda.ac.uk/uuid/cb9dcae55bee4f4dbc79374f6199b9d4
leeds-dph	ncas-dewpoint-hygrometer-1	NCAS Dewpoint Hygrometer unit 1	http://catalogue.ceda.ac.uk/uuid/56cf819313ed431686aa4eae9364843c
leeds-fage	ncas-fage-1	NCAS FAGE unit 1	http://catalogue.ceda.ac.uk/uuid/fa81f4481fc0403d843dae1be91c0e01
leeds-fr-jo1d	ncas-filtered-radiometer-1	NCAS Filtered Radiometer unit 1	http://catalogue.ceda.ac.uk/uuid/a5d341f986e64aca88fb92a18fa1f77d
	ncas-spectral-radiometer-1	NCAS Spectral Radiometer unit 2	NEEDS INVESTIGATION
	ncas-micro-fage-1	NCAS Aircraft FAGE unit 1	NEEDS INVESTIGATION
	ncas-aws-2	NCAS Automatic Weather Station unit 2	NEEDS INVESTIGATION
ncas-mobile-xband-radar	ncas-mobile-x-band-radar-1	NCAS X-Band Mobile Radar unit 1	http://catalogue.ceda.ac.uk/uuid/792da2ff61f647aa8021b4b9c06702a9
	ncas-mobile-ka-band-radar-1	NCAS Ka-Band Mobile Radar unit 1	NEEDS INVESTIGATION
	ncas-sunphotometer-1	NCAS Sky-Sun-Lunar Photometer unit 1	NEEDS INVESTIGATION
	ncas-aws-3	NCAS Automatic Weather Station unit 3	NEEDS INVESTIGATION
	ncas-sonic-3	NCAS Sonic Anemometer unit 2	NEEDS INVESTIGATION
	ncas-ceilometer-3	NCAS Lidar Ceilometer unit 3	NEEDS INVESTIGATION
	ncas-lidar-dop-2	NCAS Doppler Aerosol Lidar unit 2	NEEDS INVESTIGATION
	ncas-cam-1	NCAS Camera unit 1	NEEDS INVESTIGATION
	ncas-cam-2	NCAS Camera unit 2	NEEDS INVESTIGATION
	ncas-cam-3	NCAS Camera unit 3	NEEDS INVESTIGATION
	ncas-aws-1	NCAS Automatic Weather Station unit 1	NEEDS INVESTIGATION
	ncas-ceilometer-1	NCAS Lidar Ceilometer unit 1	NEEDS INVESTIGATION
	ncas-energy-balance-1	NCAS Energy Balance Station unit 1 - NR01 radiation sensor	NEEDS INVESTIGATION
	ncas-energy-balance-2	NCAS Energy Balance Station unit 2 - Kipp&Zonen radiation sensor	NEEDS INVESTIGATION
	ncas-flux-1	NCAS Flux Station unit 1	NEEDS INVESTIGATION
	ncas-flux-2	NCAS Flux Station unit 2	NEEDS INVESTIGATION
	ncas-licor-1	NCAS LiCor unit 1	NEEDS INVESTIGATION
	ncas-licor-2	NCAS LiCor unit 2	NEEDS INVESTIGATION
	ncas-lidar-dop-1	NCAS Doppler Aerosol Lidar unit 1	http://catalogue.ceda.ac.uk/uuid/d35f8ddefa8442d9b63883f05aa40057
	ncas-mrr-1	NCAS Micro Rain Radar unit 1	NEEDS INVESTIGATION
leeds-radiosonde	ncas-radiosonde-2	NCAS Vaisala Sounding Station unit 2	http://catalogue.ceda.ac.uk/uuid/86569f5888ec4e06a9c8bb000126c0b9
	ncas-rapidsonde-2	NCAS Windsond Sounding Station unit 2	NEEDS INVESTIGATION
salford-radiometer-1	ncas-scanning-radiometer-1	NCAS Scanning Microwave Radiometer unit 1	http://catalogue.ceda.ac.uk/uuid/bf38bcb7cfac483bb2374b48b3809c57
leeds-sodar-unit1	ncas-sodar-1	NCAS Sodar unit 1	NEEDS INVESTIGATION
leeds-sodar-unit2	ncas-sodar-2	NCAS Sodar unit 2	NEEDS INVESTIGATION
leeds-sodar-unit3	ncas-sodar-3	NCAS Sodar unit 3	NEEDS INVESTIGATION
	ncas-sonic-1	NCAS Sonic Anemometer unit 1	NEEDS INVESTIGATION
	ncas-sonic-2	NCAS Sonic Anemometer unit 2	NEEDS INVESTIGATION
