Name	Description	Example	Fixed Value	Compliance checking rules	Convention Providence
measurement_technique	What measurement technique does the instrument employ?	optical		String: min 3 characters
category_configuration_headers	Category Headers		min area, max area, min shape, max shape, min IAT, max IAT, edge rej, min N, max N, min area frac, max area frac, min aspect ratio, max aspect ratio, width min, width max, streak, CoM, grey Mode, zd threshold	exact match
